index,date,open,high,low,close,volume
347,"2020/02/10, 23:00:00",1.06643,1.0674,1.06617,1.06733,1e+100
348,"2020/02/11, 03:00:00",1.06733,1.06791,1.06724,1.06788,1e+100
349,"2020/02/11, 07:00:00",1.06788,1.06797,1.06562,1.0666,1e+100
350,"2020/02/11, 11:00:00",1.0666,1.06767,1.06611,1.06705,1e+100
351,"2020/02/11, 15:00:00",1.06705,1.0678,1.06523,1.06553,1e+100
352,"2020/02/11, 19:00:00",1.06553,1.06578,1.06491,1.0652,1e+100
353,"2020/02/11, 23:00:00",1.0652,1.06569,1.0647,1.06482,1e+100
354,"2020/02/12, 03:00:00",1.06482,1.06491,1.06431,1.06463,1e+100
355,"2020/02/12, 07:00:00",1.06463,1.06624,1.06386,1.06423,1e+100
356,"2020/02/12, 11:00:00",1.06423,1.0647,1.06342,1.06412,1e+100
357,"2020/02/12, 15:00:00",1.06412,1.06459,1.0634,1.06381,1e+100
358,"2020/02/12, 19:00:00",1.06381,1.06383,1.06313,1.06373,1e+100
359,"2020/02/12, 23:00:00",1.06373,1.06393,1.06286,1.06357,1e+100
360,"2020/02/13, 03:00:00",1.06357,1.06363,1.06278,1.06289,1e+100
361,"2020/02/13, 07:00:00",1.06289,1.06369,1.06222,1.06266,1e+100
362,"2020/02/13, 11:00:00",1.06266,1.06353,1.06186,1.06267,1e+100
363,"2020/02/13, 15:00:00",1.06267,1.06276,1.06097,1.06109,1e+100
364,"2020/02/13, 19:00:00",1.06109,1.06193,1.06097,1.0617,1e+100
365,"2020/02/13, 23:00:00",1.0617,1.06181,1.0609,1.0617,1e+100
366,"2020/02/14, 03:00:00",1.0617,1.06214,1.06156,1.06198,1e+100
367,"2020/02/14, 07:00:00",1.06198,1.06407,1.06168,1.06392,1e+100
368,"2020/02/14, 11:00:00",1.06392,1.0645,1.06289,1.06436,1e+100
369,"2020/02/14, 15:00:00",1.06436,1.06507,1.06365,1.06425,1e+100
370,"2020/02/14, 19:00:00",1.06425,1.06451,1.06355,1.06392,1e+100
371,"2020/02/16, 23:00:00",1.06392,1.06453,1.06367,1.06443,1e+100
372,"2020/02/17, 03:00:00",1.06443,1.06508,1.06426,1.06475,1e+100
373,"2020/02/17, 07:00:00",1.06475,1.06499,1.06383,1.06462,1e+100
374,"2020/02/17, 11:00:00",1.06462,1.06505,1.06363,1.06375,1e+100
375,"2020/02/17, 15:00:00",1.06375,1.06402,1.06278,1.06289,1e+100
376,"2020/02/17, 19:00:00",1.06289,1.06303,1.06262,1.06288,1e+100
377,"2020/02/17, 23:00:00",1.06288,1.06304,1.06222,1.06246,1e+100
378,"2020/02/18, 03:00:00",1.06246,1.06248,1.06189,1.06203,1e+100
379,"2020/02/18, 07:00:00",1.06203,1.06236,1.06145,1.06206,1e+100
380,"2020/02/18, 11:00:00",1.06206,1.06291,1.06118,1.0616,1e+100
381,"2020/02/18, 15:00:00",1.0616,1.06294,1.06112,1.0614,1e+100
382,"2020/02/18, 19:00:00",1.0614,1.06142,1.06096,1.061,1e+100
383,"2020/02/18, 23:00:00",1.061,1.06174,1.06072,1.06159,1e+100
384,"2020/02/19, 03:00:00",1.06159,1.06222,1.0614,1.06146,1e+100
385,"2020/02/19, 07:00:00",1.06146,1.06295,1.06119,1.0626,1e+100
386,"2020/02/19, 11:00:00",1.0626,1.06278,1.06156,1.0616,1e+100
387,"2020/02/19, 15:00:00",1.0616,1.06222,1.06118,1.06204,1e+100
388,"2020/02/19, 19:00:00",1.06204,1.06351,1.06187,1.06332,1e+100
389,"2020/02/19, 23:00:00",1.06332,1.06355,1.06161,1.06169,1e+100
390,"2020/02/20, 03:00:00",1.06169,1.06255,1.06121,1.062,1e+100
391,"2020/02/20, 07:00:00",1.062,1.06217,1.06107,1.06155,1e+100
392,"2020/02/20, 11:00:00",1.06155,1.06219,1.06065,1.06217,1e+100
393,"2020/02/20, 15:00:00",1.06217,1.06294,1.06075,1.06149,1e+100
394,"2020/02/20, 19:00:00",1.06149,1.06217,1.06131,1.06158,1e+100
395,"2020/02/20, 23:00:00",1.06158,1.06189,1.06122,1.06139,1e+100
396,"2020/02/21, 03:00:00",1.06139,1.06147,1.06095,1.061,1e+100
397,"2020/02/21, 07:00:00",1.061,1.06222,1.06065,1.06105,1e+100
398,"2020/02/21, 11:00:00",1.06105,1.06129,1.06073,1.06095,1e+100
399,"2020/02/21, 15:00:00",1.06095,1.06244,1.06064,1.06187,1e+100
400,"2020/02/21, 19:00:00",1.06187,1.06196,1.06114,1.06132,1e+100
401,"2020/02/23, 23:00:00",1.06132,1.06145,1.06065,1.06098,1e+100
402,"2020/02/24, 03:00:00",1.06098,1.06143,1.0607,1.06071,1e+100
403,"2020/02/24, 07:00:00",1.06071,1.06124,1.06061,1.06106,1e+100
404,"2020/02/24, 11:00:00",1.06106,1.0614,1.05926,1.05945,1e+100
405,"2020/02/24, 15:00:00",1.05945,1.06238,1.05901,1.06194,1e+100
406,"2020/02/24, 19:00:00",1.06194,1.06261,1.06184,1.0623,1e+100
407,"2020/02/24, 23:00:00",1.0623,1.06352,1.06216,1.06291,1e+100
408,"2020/02/25, 03:00:00",1.06291,1.06336,1.06278,1.06298,1e+100
409,"2020/02/25, 07:00:00",1.06298,1.0634,1.06062,1.06065,1e+100
410,"2020/02/25, 11:00:00",1.06065,1.06091,1.05958,1.05966,1e+100
411,"2020/02/25, 15:00:00",1.05966,1.0619,1.05937,1.06142,1e+100
412,"2020/02/25, 19:00:00",1.06142,1.06238,1.06104,1.06207,1e+100
413,"2020/02/25, 23:00:00",1.06207,1.06228,1.06053,1.06128,1e+100
414,"2020/02/26, 03:00:00",1.06128,1.06235,1.06112,1.06206,1e+100
415,"2020/02/26, 07:00:00",1.06206,1.06206,1.05997,1.06086,1e+100
416,"2020/02/26, 11:00:00",1.06086,1.06226,1.0603,1.06074,1e+100
417,"2020/02/26, 15:00:00",1.06074,1.0635,1.06017,1.06305,1e+100
418,"2020/02/26, 19:00:00",1.06305,1.06368,1.06263,1.06282,1e+100
419,"2020/02/26, 23:00:00",1.06282,1.06341,1.06224,1.06267,1e+100
420,"2020/02/27, 03:00:00",1.06267,1.06283,1.06182,1.06183,1e+100
421,"2020/02/27, 07:00:00",1.06183,1.06429,1.06166,1.06296,1e+100
422,"2020/02/27, 11:00:00",1.06296,1.06383,1.06192,1.06321,1e+100
423,"2020/02/27, 15:00:00",1.06321,1.06699,1.06268,1.0667,1e+100
424,"2020/02/27, 19:00:00",1.0667,1.06719,1.06442,1.0646,1e+100
425,"2020/02/27, 23:00:00",1.0646,1.06608,1.06411,1.06478,1e+100
426,"2020/02/28, 03:00:00",1.06478,1.06524,1.06362,1.06423,1e+100
427,"2020/02/28, 07:00:00",1.06423,1.0648,1.06164,1.06434,1e+100
428,"2020/02/28, 11:00:00",1.06434,1.06482,1.05998,1.06071,1e+100
429,"2020/02/28, 15:00:00",1.06071,1.06577,1.05851,1.06533,1e+100
430,"2020/02/28, 19:00:00",1.06533,1.06565,1.06377,1.06407,1e+100
431,"2020/03/01, 23:00:00",1.06407,1.06651,1.06348,1.06516,1e+100
432,"2020/03/02, 03:00:00",1.06516,1.0668,1.06471,1.06538,1e+100
433,"2020/03/02, 07:00:00",1.06538,1.07061,1.06494,1.0658,1e+100
434,"2020/03/02, 11:00:00",1.0658,1.06622,1.06303,1.06408,1e+100
435,"2020/03/02, 15:00:00",1.06408,1.07043,1.06341,1.06929,1e+100
436,"2020/03/02, 19:00:00",1.06929,1.06963,1.06742,1.06801,1e+100
437,"2020/03/02, 23:00:00",1.06801,1.06912,1.06619,1.06658,1e+100
438,"2020/03/03, 03:00:00",1.06658,1.06813,1.06651,1.06783,1e+100
439,"2020/03/03, 07:00:00",1.06783,1.06821,1.06376,1.06519,1e+100
440,"2020/03/03, 11:00:00",1.06519,1.06565,1.06303,1.06426,1e+100
441,"2020/03/03, 15:00:00",1.06426,1.06955,1.06396,1.06899,1e+100
442,"2020/03/03, 19:00:00",1.06899,1.07102,1.06639,1.06842,1e+100
443,"2020/03/03, 23:00:00",1.06842,1.06903,1.06786,1.0681,1e+100
444,"2020/03/04, 03:00:00",1.0681,1.06863,1.0678,1.06784,1e+100
445,"2020/03/04, 07:00:00",1.06784,1.07042,1.06455,1.06466,1e+100
446,"2020/03/04, 11:00:00",1.06466,1.06664,1.06384,1.06443,1e+100
447,"2020/03/04, 15:00:00",1.06443,1.06487,1.06206,1.06382,1e+100
448,"2020/03/04, 19:00:00",1.06382,1.06617,1.0638,1.06548,1e+100
449,"2020/03/04, 23:00:00",1.06548,1.06589,1.0646,1.06474,1e+100
450,"2020/03/05, 03:00:00",1.06474,1.06569,1.0647,1.06525,1e+100
451,"2020/03/05, 07:00:00",1.06525,1.06534,1.06352,1.06448,1e+100
452,"2020/03/05, 11:00:00",1.06448,1.06757,1.06384,1.06522,1e+100
453,"2020/03/05, 15:00:00",1.06522,1.06532,1.06168,1.06255,1e+100
454,"2020/03/05, 19:00:00",1.06255,1.06299,1.06192,1.06244,1e+100
455,"2020/03/05, 23:00:00",1.06244,1.06296,1.06124,1.06174,1e+100
456,"2020/03/06, 03:00:00",1.06174,1.06187,1.06068,1.06081,1e+100
457,"2020/03/06, 07:00:00",1.06081,1.06179,1.0595,1.06034,1e+100
458,"2020/03/06, 11:00:00",1.06034,1.06129,1.05808,1.05851,1e+100
459,"2020/03/06, 15:00:00",1.05851,1.06108,1.05753,1.06025,1e+100
460,"2020/03/06, 19:00:00",1.06025,1.06151,1.0581,1.05883,1e+100
461,"2020/03/08, 22:00:00",1.05883,1.05966,1.05592,1.05726,1e+100
462,"2020/03/09, 02:00:00",1.05726,1.06046,1.05502,1.05517,1e+100
463,"2020/03/09, 06:00:00",1.05517,1.05966,1.05431,1.05745,1e+100
464,"2020/03/09, 10:00:00",1.05745,1.06225,1.05621,1.05995,1e+100
465,"2020/03/09, 14:00:00",1.05995,1.06392,1.05628,1.06153,1e+100
466,"2020/03/09, 18:00:00",1.06153,1.06187,1.05711,1.05904,1e+100
467,"2020/03/09, 22:00:00",1.05904,1.0616,1.05691,1.05975,1e+100
468,"2020/03/10, 02:00:00",1.05975,1.06466,1.05949,1.06323,1e+100
469,"2020/03/10, 06:00:00",1.06323,1.06416,1.05761,1.05903,1e+100
470,"2020/03/10, 10:00:00",1.05903,1.06138,1.05794,1.05906,1e+100
471,"2020/03/10, 14:00:00",1.05906,1.06044,1.05763,1.05874,1e+100
472,"2020/03/10, 18:00:00",1.05874,1.06169,1.05849,1.06058,1e+100
473,"2020/03/10, 22:00:00",1.06058,1.06185,1.05904,1.06037,1e+100
474,"2020/03/11, 02:00:00",1.06037,1.06102,1.0599,1.0604,1e+100
475,"2020/03/11, 06:00:00",1.0604,1.06061,1.05755,1.05963,1e+100
476,"2020/03/11, 10:00:00",1.05963,1.06094,1.05808,1.05813,1e+100
